"chillR_code","Name","CTRY","Latitude","Longitude","Elevation","BEGIN","END","distance","elevation_diff","Perc_Tmin","Perc_Tmax","Cod_Station","Institution","Source","Distance","N_Obs","Perc_days_complete"
NA,"Digua Embalse",NA,-36.2558,-71.5481,390,NA,NA,NA,NA,NA,NA,"Cod_7331002","DGA","dga_web",374.03,27684,99.73
NA,"El Trapiche",NA,-29.3731,-71.1181,300,NA,NA,NA,NA,NA,NA,"Cod_4120001","DGA","dga_web",390.67,26577,95.74
NA,"Bernardo O'Higgins Chillan Ad.",NA,-36.5872,-72.04,151,NA,NA,NA,NA,NA,NA,"Cod_360011","DMC","dmc_merge",416.51,27611,99.46
NA,"Diguillin",NA,-36.8686,-71.6425,670,NA,NA,NA,NA,NA,NA,"Cod_8130006","DGA","dga_web",442.51,26735,96.31
NA,"Carriel Sur Concepcion.",NA,-36.7792,-73.0622,12,NA,NA,NA,NA,NA,NA,"Cod_360019","DMC","dmc_merge",462.93,27722,99.86
NA,"Santa Juana",NA,-28.6672,-70.6625,560,NA,NA,NA,NA,NA,NA,"Cod_3820004","DGA","dga_web",471.72,27284,98.29
NA,"Lautaro Embalse",NA,-27.9783,-70.0033,1110,NA,NA,NA,NA,NA,NA,"Cod_3430006","DGA","dga_web",557.31,27166,97.86
NA,"Traiguen",NA,-38.2561,-72.6536,234,NA,NA,NA,NA,NA,NA,"Cod_9105002","DGA","dga_web",608.95,25413,91.55
NA,"Maquehue Temuco Ad.",NA,-38.77,-72.6369,92,NA,NA,NA,NA,NA,NA,"Cod_380013","DMC","dmc_merge",664.4,27470,98.96
NA,"Santa Rosa Aero",NA,-36.567,-64.266,192,NA,NA,NA,NA,NA,NA,"Cod_AR000087623","GHCN","ghcn_ftp",754.81,25157,90.62
NA,"Pichoy Valdivia Ad.",NA,-39.6506,-73.0808,21,NA,NA,NA,NA,NA,NA,"Cod_390006","DMC","dmc_merge",768.12,27724,99.87
NA,"Adolfo Matthei",NA,-40.5883,-73.1069,55,NA,NA,NA,NA,NA,NA,"Cod_10360002","DGA","dga_web",870.26,25406,91.52
NA,"Canal Bajo Osorno Ad.",NA,-40.605,-73.0608,61,NA,NA,NA,NA,NA,NA,"Cod_400009","DMC","dmc_merge",871.29,27496,99.05
