"station_name","Altitude","Latitude","Longitude","country","1981","1985","1989","1993","1997","2001","2005","2009","2013","2017","rcp45_2050_pessimistic","rcp45_2050_intermediate","rcp45_2050_optimistic","rcp45_2085_pessimistic","rcp45_2085_intermediate","rcp45_2085_optimistic","rcp85_2050_pessimistic","rcp85_2050_intermediate","rcp85_2050_optimistic","rcp85_2085_pessimistic","rcp85_2085_intermediate","rcp85_2085_optimistic"
"EL ALTO INTL",4061.5,-16.513,-68.192,"BL",78.7796435504388,78.922408403394,77.5993367148076,77.3666460965742,77.0195477596371,75.855727846726,75.1762589979444,74.2770318903549,73.6385077069172,72.375453612769,58.8634232335244,67.3932872868572,74.1864169054843,62.139761783641,68.7086636505755,75.2138106559769,52.8624390716359,63.9008689413772,71.7077295280396,38.6450941770746,55.7612408277528,65.9756322072153
"El Loa Calama Ad.",2293,-22.4989,-68.9072,"CI",34.7620753749356,34.5802304331637,33.3217437755034,33.1480258319393,31.3021109077586,31.0405205163684,31.0120265288733,27.9524703302004,28.8077363862872,26.3980007313105,1.99142090074872,10.1254615443472,18.7706586821801,3.54447666408521,13.0365972053597,21.4569047901625,1.0872831612742,6.89087844887763,12.9128341023213,0,0.995775165516477,7.54976429865249
"EL PLUMERILLO",704.1,-32.832,-68.793,"AR",57.6111244807475,56.1020568306585,54.5137808260815,53.6599255058372,53.0551176995859,54.4502496875075,54.4574520303231,53.3925996389961,50.373561253009,50.6905715708367,35.1043009368357,42.8991769976692,52.5084088072509,35.8919348715344,45.8111535459678,57.5133209606402,30.9063126389688,39.4326422075628,48.217694274459,20.8421512546042,32.6347788161775,49.8950286480567
"EL TEPUAL INTL",89.6,-41.439,-73.094,"CI",88.9510184659539,89.6681422724741,89.3328773062622,88.5891585712634,87.8841784528613,88.1024308778017,88.6078876885203,88.7788708805092,88.0920073570414,87.370764546702,79.8589226789245,83.8344126651391,85.8043875944841,80.0216777591449,83.8060620326496,90.9109992693579,78.4268235074824,81.5732501910661,84.7981367197117,70.4293186785526,76.1397765858428,88.1994678982792
"El Tepual Puerto Montt Ap.",85,-41.435,-73.0978,"CI",90.8358475081986,91.2608101340065,91.0936945439198,90.2171532748507,89.8437661355129,89.9539344650184,90.3999688625308,90.3884136351207,90.2966341571896,89.3788777308605,82.5701121669431,85.4486211454514,87.3395164267167,82.8074496616091,85.1576994337793,92.0859817959872,79.9858200648441,83.4502913801613,86.6357922408708,73.0271703009075,79.167758532285,90.0783895580003
"El Trapiche",300,-29.3731,-71.1181,"CI",30.6188918486148,32.1993117687625,35.35320293732,35.4865690523802,35.8730862933369,35.1260263293616,36.4405312295189,31.2922846039814,28.9331284691673,27.8925112835858,6.02047072635264,12.8752218359875,20.934344322754,6.0045788536749,13.978264621448,27.5476133573779,2.7507763969364,9.01145466926141,16.5848755037093,0,3.00788620170113,12.9968019198427
"EL TROMPILLO",417.9,-17.812,-63.171,"BL",1.00389021469272,1.00913911438192,1.00216380045742,0,0,0,0.993670335512075,1.00124412899171,1.00029583443813,0.966536061620616,0,0,0,0,0,0.999105418390684,0,0,0,0,0,0
"ELDORADO INTL",2548.4,4.702,-74.147,"CO",28.6810540323713,26.6225283813992,23.5009049407308,20.2783903662989,18.2130127402461,20.2447627865749,17.3835693968358,15.7581124252074,12.3279209296604,8.9553090760844,0,1.79704636261295,9.02942939436889,0,2.0187643324795,17.5640227533368,0,0,6.6331289119596,0,0,2.02507814531521
"ESQUEL",798.9,-42.908,-71.139,"AR",82.3057752302457,82.0771165295082,81.8893505589035,81.9481952587448,81.3769987829078,80.9634866272696,80.9088613898221,81.6373822098485,81.8051848004925,82.0621395253902,82.0328757902116,82.5982708741622,83.5480597609408,82.3428886355237,83.3705175564014,84.1424996042224,81.608049808292,82.7477565799418,83.3935305900159,81.8975703294918,82.8618366711635,84.9482293238111
"Eulogio Sanchez Tobalaba Ad.",650,-33.4544,-70.5478,"CI",65.985330875068,65.0824534839521,64.5274134264696,61.2993896651806,58.8718617637323,59.6974107506371,59.5002846810487,58.5043526422342,58.4291294898781,57.572847728904,39.7952483140975,50.4710601198673,59.3089766642868,39.8668585886999,53.4374678501385,66.8024531234155,34.7530445423554,45.5991561684441,55.7845855764403,23.8879681166011,39.6503794340488,53.5298441093894
"FORMOSA",59.1,-26.213,-58.228,"AR",6.54708518859672,6.04492495245063,5.81584117228488,6.00262166249672,5.17752621083298,5.04205896525716,5.64003103153715,5.40397155385085,5.86291170918861,5.56033009972566,2.01050271487267,2.90159530530468,4.0397181723942,1.00859521750635,3.17310778187198,7.16155979192592,1.00609000656721,2.01064615539059,3.38273422802001,0,0.992065723753853,3.52035039361999
"Futaleufu Ad.",347,-43.1889,-71.8525,"CI",87.5110273110422,87.1549902475599,86.8741598107918,87.1663398152032,87.0422946375529,86.4777274799762,86.0964527951091,86.660119558027,86.6422979512354,86.9003986821408,86.9069499911257,87.3578942947042,88.730491717475,86.4061549590024,87.9017107312716,89.5349292526853,86.4583849681294,87.6608912554148,88.7923673218665,85.4390221026247,87.4325549085079,90.4910549683509
"GALEAO ANTONIO CARLOS JOBIM",8.5,-22.809,-43.244,"BR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"General Freire Curico Ad.",225,-34.9664,-71.2167,"CI",79.758378061181,78.8355809100958,79.4984094553997,76.3454748642134,76.6805964501514,77.4725498063435,77.6768418423628,77.9647482013984,76.640327582797,75.8518100272227,59.6300000760771,68.1026179551332,75.4622989198269,59.7697214458417,69.1289478110302,79.5828341637953,54.9910456886741,62.8843237161818,70.3528868475926,42.3147475673205,52.956489709276,69.3103935966992
"GENERAL URQUIZA",74.1,-31.795,-60.48,"AR",35.7965139279653,34.9843713127889,35.4538779779314,34.735577088763,32.5636388640587,32.5328279990517,33.5832467597884,32.5117615660938,32.2597807642135,30.8316073029432,19.0088254439816,22.1289138182103,26.6402418039715,18.9490303625817,23.3070841808787,39.5747795324046,16.7667128629876,19.5292893160236,22.100200204477,10.1165773052348,16.176140275202,31.554038689294
"GOBERNADOR CASTELLO",6.1,-40.869,-63,"AR",73.0055572279894,73.8080462369871,74.3326761434428,72.7937699440727,72.2868138699033,70.975938948478,70.07848570023,68.8895405477388,66.3799412198496,65.4993016489707,61.3449458765493,64.5320528692374,66.9107701901521,61.8369786883814,64.9767103719823,76.0485279630848,59.708498221648,62.2023345646058,65.0333226114608,53.142500963022,58.0747949325314,69.7638819109236
"GOIABEIRAS",3.4,-20.258,-40.286,"BR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUALEGUAYCHU",22.9,-33.01,-58.613,"AR",38.3660791557375,35.6126118875036,37.0123472241658,34.3425113875501,34.0703955460522,32.9367936682174,36.7359434752452,36.1001248249868,34.8933620840417,35.2414342525897,23.4540759690171,26.0146236940117,30.8051773035788,24.3618627302978,28.3280923828129,43.0270505534045,20.5053185132325,23.1631800060238,26.8463307448023,13.2533075210231,19.3158618073817,35.4661998326792
"HERCILIO LUZ",6.1,-27.67,-48.547,"BR",2.00444526777687,2.01102026294308,2.01576228725463,2.78353553301064,2.01343929397473,1.68841111828687,1.01280020728234,1.01242930083737,1.97316769958445,1.96557116928608,0,0,0,0,0,3.01873645415446,0,0,0,0,0,0
"HEROES DEL ACRE",271.9,-11.04,-68.783,"BL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hurtado",1100,-30.2867,-70.6961,"CI",29.7281707138559,30.6511226289576,30.1455847142961,27.360516998448,25.2146758057926,23.3949986587372,23.413835229876,22.3629993332274,22.616822020198,23.9941917240634,10.0844227047836,15.1013001266574,19.7517865601076,8.9135582738395,14.2260788416029,20.6045623976145,8.00318193699462,11.8399903405287,17.7263428545918,3.72051425611414,6.76399158502784,15.4120945454411
